Gamma,Lambda,Accuracy
2.33e-06,3.09e-06,15.827338129496402
2.33e-06,4.09e-06,14.388489208633093
2.33e-06,5.43e-06,16.546762589928058
2.33e-06,7.2e-06,38.489208633093526
2.33e-06,9.54e-06,38.84892086330935
2.33e-06,1.265e-05,54.31654676258992
2.33e-06,1.677e-05,48.201438848920866
2.33e-06,2.223e-05,55.39568345323741
2.33e-06,2.947e-05,57.9136690647482
2.33e-06,3.907e-05,57.55395683453237
2.33e-06,5.179e-05,65.10791366906474
2.33e-06,6.866e-05,66.18705035971223
2.33e-06,9.103e-05,63.30935251798561
2.33e-06,0.00012068,63.30935251798561
2.33e-06,0.00015999,66.90647482014388
2.33e-06,0.0002121,65.10791366906474
2.33e-06,0.00028118,67.26618705035972
2.33e-06,0.00037276,62.589928057553955
2.33e-06,0.00049417,62.589928057553955
2.33e-06,0.00065513,63.66906474820144
2.33e-06,0.00086851,62.23021582733813
2.33e-06,0.0011514,63.66906474820144
2.33e-06,0.00152642,61.51079136690647
2.33e-06,0.00202359,60.79136690647482
2.33e-06,0.0026827,58.992805755395686
2.33e-06,0.00355648,58.63309352517986
2.33e-06,0.00471487,57.55395683453237
2.33e-06,0.00625055,55.75539568345324
2.33e-06,0.00828643,54.67625899280576
2.33e-06,0.01098541,53.956834532374096
2.33e-06,0.01456348,52.87769784172662
2.33e-06,0.01930698,49.64028776978417
2.33e-06,0.02559548,48.201438848920866
2.33e-06,0.03393222,47.122302158273385
2.33e-06,0.04498433,45.32374100719424
2.33e-06,0.05963623,43.16546762589928
2.33e-06,0.07906043,43.16546762589928
2.33e-06,0.10481131,41.726618705035975
2.33e-06,0.13894955,42.086330935251794
2.33e-06,0.184207,40.28776978417266
2.33e-06,0.24420531,39.20863309352518
2.33e-06,0.32374575,39.568345323741006
2.33e-06,0.42919343,39.20863309352518
2.33e-06,0.5689866,37.76978417266187
2.33e-06,0.75431201,36.69064748201439
2.33e-06,1.0,35.25179856115108
3.09e-06,1e-06,19.06474820143885
3.09e-06,1.33e-06,16.18705035971223
3.09e-06,1.76e-06,17.26618705035971
3.09e-06,2.33e-06,14.028776978417264
3.09e-06,3.09e-06,17.985611510791365
3.09e-06,4.09e-06,19.784172661870503
3.09e-06,5.43e-06,15.827338129496402
3.09e-06,7.2e-06,43.16546762589928
3.09e-06,9.54e-06,29.856115107913666
3.09e-06,1.265e-05,52.15827338129496
3.09e-06,1.677e-05,52.15827338129496
3.09e-06,2.223e-05,50.719424460431654
3.09e-06,2.947e-05,66.18705035971223
3.09e-06,3.907e-05,67.62589928057554
3.09e-06,5.179e-05,65.82733812949641
3.09e-06,6.866e-05,71.94244604316546
3.09e-06,9.103e-05,70.86330935251799
3.09e-06,0.00012068,67.62589928057554
3.09e-06,0.00015999,67.98561151079137
3.09e-06,0.0002121,65.82733812949641
3.09e-06,0.00028118,69.42446043165468
3.09e-06,0.00037276,67.26618705035972
3.09e-06,0.00049417,64.74820143884892
3.09e-06,0.00065513,64.38848920863309
3.09e-06,0.00086851,63.66906474820144
3.09e-06,0.0011514,61.87050359712231
3.09e-06,0.00152642,62.94964028776978
3.09e-06,0.00202359,60.79136690647482
3.09e-06,0.0026827,61.51079136690647
3.09e-06,0.00355648,60.431654676258994
3.09e-06,0.00471487,59.352517985611506
3.09e-06,0.00625055,58.27338129496403
3.09e-06,0.00828643,56.4748201438849
3.09e-06,0.01098541,55.75539568345324
3.09e-06,0.01456348,53.956834532374096
3.09e-06,0.01930698,52.87769784172662
3.09e-06,0.02559548,51.07913669064749
3.09e-06,0.03393222,48.92086330935252
3.09e-06,0.04498433,46.76258992805755
3.09e-06,0.05963623,45.68345323741007
3.09e-06,0.07906043,43.16546762589928
3.09e-06,0.10481131,42.44604316546763
3.09e-06,0.13894955,41.726618705035975
3.09e-06,0.184207,41.726618705035975
3.09e-06,0.24420531,40.28776978417266
3.09e-06,0.32374575,39.20863309352518
3.09e-06,0.42919343,39.92805755395683
3.09e-06,0.5689866,39.20863309352518
3.09e-06,0.75431201,38.1294964028777
3.09e-06,1.0,36.69064748201439
4.09e-06,1e-06,17.62589928057554
4.09e-06,1.33e-06,19.06474820143885
4.09e-06,1.76e-06,19.784172661870503
4.09e-06,2.33e-06,12.23021582733813
4.09e-06,3.09e-06,17.26618705035971
4.09e-06,4.09e-06,12.949640287769784
4.09e-06,5.43e-06,23.381294964028775
4.09e-06,7.2e-06,32.37410071942446
4.09e-06,9.54e-06,52.87769784172662
4.09e-06,1.265e-05,59.352517985611506
4.09e-06,1.677e-05,53.956834532374096
4.09e-06,2.223e-05,58.63309352517986
4.09e-06,2.947e-05,68.70503597122301
4.09e-06,3.907e-05,66.54676258992805
4.09e-06,5.179e-05,60.431654676258994
4.09e-06,6.866e-05,69.7841726618705
4.09e-06,9.103e-05,72.3021582733813
4.09e-06,0.00012068,69.42446043165468
4.09e-06,0.00015999,72.3021582733813
4.09e-06,0.0002121,71.58273381294964
4.09e-06,0.00028118,69.42446043165468
4.09e-06,0.00037276,69.06474820143885
4.09e-06,0.00049417,68.34532374100719
4.09e-06,0.00065513,66.18705035971223
4.09e-06,0.00086851,66.54676258992805
4.09e-06,0.0011514,65.10791366906474
4.09e-06,0.00152642,64.38848920863309
4.09e-06,0.00202359,63.66906474820144
4.09e-06,0.0026827,62.23021582733813
4.09e-06,0.00355648,61.51079136690647
4.09e-06,0.00471487,60.79136690647482
4.09e-06,0.00625055,59.352517985611506
4.09e-06,0.00828643,58.63309352517986
4.09e-06,0.01098541,56.4748201438849
4.09e-06,0.01456348,55.75539568345324
4.09e-06,0.01930698,54.31654676258992
4.09e-06,0.02559548,53.23741007194245
4.09e-06,0.03393222,51.798561151079134
4.09e-06,0.04498433,49.280575539568346
4.09e-06,0.05963623,47.84172661870504
4.09e-06,0.07906043,45.68345323741007
4.09e-06,0.10481131,43.884892086330936
4.09e-06,0.13894955,42.086330935251794
4.09e-06,0.184207,41.726618705035975
4.09e-06,0.24420531,41.726618705035975
4.09e-06,0.32374575,40.647482014388494
4.09e-06,0.42919343,39.92805755395683
4.09e-06,0.5689866,39.92805755395683
4.09e-06,0.75431201,38.84892086330935
4.09e-06,1.0,37.76978417266187
5.43e-06,1e-06,15.827338129496402
5.43e-06,1.33e-06,17.985611510791365
5.43e-06,1.76e-06,15.107913669064748
5.43e-06,2.33e-06,19.424460431654676
5.43e-06,3.09e-06,19.424460431654676
5.43e-06,4.09e-06,20.503597122302157
5.43e-06,5.43e-06,13.66906474820144
5.43e-06,7.2e-06,40.647482014388494
5.43e-06,9.54e-06,47.122302158273385
5.43e-06,1.265e-05,60.79136690647482
5.43e-06,1.677e-05,68.70503597122301
5.43e-06,2.223e-05,62.94964028776978
5.43e-06,2.947e-05,62.94964028776978
5.43e-06,3.907e-05,73.02158273381295
5.43e-06,5.179e-05,70.50359712230215
5.43e-06,6.866e-05,72.66187050359713
5.43e-06,9.103e-05,75.53956834532374
5.43e-06,0.00012068,71.94244604316546
5.43e-06,0.00015999,73.38129496402878
5.43e-06,0.0002121,73.38129496402878
5.43e-06,0.00028118,70.14388489208633
5.43e-06,0.00037276,69.42446043165468
5.43e-06,0.00049417,71.22302158273382
5.43e-06,0.00065513,69.42446043165468
5.43e-06,0.00086851,67.98561151079137
5.43e-06,0.0011514,65.46762589928058
5.43e-06,0.00152642,65.82733812949641
5.43e-06,0.00202359,65.82733812949641
5.43e-06,0.0026827,64.38848920863309
5.43e-06,0.00355648,63.66906474820144
5.43e-06,0.00471487,61.87050359712231
5.43e-06,0.00625055,60.431654676258994
5.43e-06,0.00828643,60.07194244604317
5.43e-06,0.01098541,58.992805755395686
5.43e-06,0.01456348,56.83453237410072
5.43e-06,0.01930698,55.39568345323741
5.43e-06,0.02559548,54.31654676258992
5.43e-06,0.03393222,53.23741007194245
5.43e-06,0.04498433,51.438848920863315
5.43e-06,0.05963623,50.719424460431654
5.43e-06,0.07906043,48.561151079136685
5.43e-06,0.10481131,45.68345323741007
5.43e-06,0.13894955,44.60431654676259
5.43e-06,0.184207,42.44604316546763
5.43e-06,0.24420531,41.726618705035975
5.43e-06,0.32374575,42.805755395683455
5.43e-06,0.42919343,41.726618705035975
5.43e-06,0.5689866,39.568345323741006
5.43e-06,0.75431201,39.92805755395683
5.43e-06,1.0,38.84892086330935
7.2e-06,1e-06,19.784172661870503
7.2e-06,1.33e-06,17.62589928057554
7.2e-06,1.76e-06,18.705035971223023
7.2e-06,2.33e-06,14.028776978417264
7.2e-06,3.09e-06,16.18705035971223
7.2e-06,4.09e-06,14.028776978417264
7.2e-06,5.43e-06,15.467625899280577
7.2e-06,7.2e-06,44.96402877697842
7.2e-06,9.54e-06,51.438848920863315
7.2e-06,1.265e-05,45.32374100719424
7.2e-06,1.677e-05,64.02877697841727
7.2e-06,2.223e-05,66.54676258992805
7.2e-06,2.947e-05,70.14388489208633
7.2e-06,3.907e-05,75.53956834532374
7.2e-06,5.179e-05,75.17985611510791
7.2e-06,6.866e-05,76.61870503597122
7.2e-06,9.103e-05,76.97841726618705
7.2e-06,0.00012068,75.53956834532374
7.2e-06,0.00015999,75.89928057553958
7.2e-06,0.0002121,74.46043165467626
7.2e-06,0.00028118,73.38129496402878
7.2e-06,0.00037276,70.86330935251799
7.2e-06,0.00049417,70.14388489208633
7.2e-06,0.00065513,70.86330935251799
7.2e-06,0.00086851,69.06474820143885
7.2e-06,0.0011514,68.34532374100719
7.2e-06,0.00152642,67.26618705035972
7.2e-06,0.00202359,66.18705035971223
7.2e-06,0.0026827,66.90647482014388
7.2e-06,0.00355648,66.18705035971223
7.2e-06,0.00471487,64.74820143884892
7.2e-06,0.00625055,63.30935251798561
7.2e-06,0.00828643,61.87050359712231
7.2e-06,0.01098541,60.79136690647482
7.2e-06,0.01456348,58.992805755395686
7.2e-06,0.01930698,56.83453237410072
7.2e-06,0.02559548,56.11510791366906
7.2e-06,0.03393222,53.597122302158276
7.2e-06,0.04498433,52.15827338129496
7.2e-06,0.05963623,51.798561151079134
7.2e-06,0.07906043,50.0
7.2e-06,0.10481131,48.561151079136685
7.2e-06,0.13894955,47.122302158273385
7.2e-06,0.184207,44.96402877697842
7.2e-06,0.24420531,44.24460431654676
7.2e-06,0.32374575,42.086330935251794
7.2e-06,0.42919343,42.805755395683455
7.2e-06,0.5689866,41.007194244604314
7.2e-06,0.75431201,40.28776978417266
7.2e-06,1.0,39.92805755395683
9.54e-06,1e-06,16.906474820143885
9.54e-06,1.33e-06,19.06474820143885
9.54e-06,1.76e-06,15.827338129496402
9.54e-06,2.33e-06,17.26618705035971
9.54e-06,3.09e-06,19.784172661870503
9.54e-06,4.09e-06,20.503597122302157
9.54e-06,5.43e-06,20.863309352517987
9.54e-06,7.2e-06,34.172661870503596
9.54e-06,9.54e-06,57.55395683453237
9.54e-06,1.265e-05,61.15107913669065
9.54e-06,1.677e-05,69.42446043165468
9.54e-06,2.223e-05,71.94244604316546
9.54e-06,2.947e-05,72.66187050359713
9.54e-06,3.907e-05,73.38129496402878
9.54e-06,5.179e-05,79.49640287769785
9.54e-06,6.866e-05,74.10071942446042
9.54e-06,9.103e-05,77.6978417266187
9.54e-06,0.00012068,74.82014388489209
9.54e-06,0.00015999,75.53956834532374
9.54e-06,0.0002121,75.53956834532374
9.54e-06,0.00028118,75.89928057553958
9.54e-06,0.00037276,74.10071942446042
9.54e-06,0.00049417,72.66187050359713
9.54e-06,0.00065513,71.22302158273382
9.54e-06,0.00086851,70.50359712230215
9.54e-06,0.0011514,70.86330935251799
9.54e-06,0.00152642,69.42446043165468
9.54e-06,0.00202359,69.42446043165468
9.54e-06,0.0026827,68.34532374100719
9.54e-06,0.00355648,67.62589928057554
9.54e-06,0.00471487,67.26618705035972
9.54e-06,0.00625055,65.46762589928058
9.54e-06,0.00828643,64.02877697841727
9.54e-06,0.01098541,62.23021582733813
9.54e-06,0.01456348,60.431654676258994
9.54e-06,0.01930698,58.992805755395686
9.54e-06,0.02559548,57.55395683453237
9.54e-06,0.03393222,56.83453237410072
9.54e-06,0.04498433,54.31654676258992
9.54e-06,0.05963623,52.51798561151079
9.54e-06,0.07906043,51.438848920863315
9.54e-06,0.10481131,49.64028776978417
9.54e-06,0.13894955,48.201438848920866
9.54e-06,0.184207,47.84172661870504
9.54e-06,0.24420531,45.68345323741007
9.54e-06,0.32374575,44.60431654676259
9.54e-06,0.42919343,42.805755395683455
9.54e-06,0.5689866,42.086330935251794
9.54e-06,0.75431201,41.007194244604314
9.54e-06,1.0,41.007194244604314
1.265e-05,1e-06,16.546762589928058
1.265e-05,1.33e-06,17.26618705035971
1.265e-05,1.76e-06,15.827338129496402
1.265e-05,2.33e-06,14.028776978417264
1.265e-05,3.09e-06,18.705035971223023
1.265e-05,4.09e-06,23.741007194244602
1.265e-05,5.43e-06,21.58273381294964
1.265e-05,7.2e-06,61.51079136690647
1.265e-05,9.54e-06,32.37410071942446
1.265e-05,1.265e-05,74.10071942446042
1.265e-05,1.677e-05,69.7841726618705
1.265e-05,2.223e-05,73.7410071942446
1.265e-05,2.947e-05,76.61870503597122
1.265e-05,3.907e-05,81.65467625899281
1.265e-05,5.179e-05,79.85611510791367
1.265e-05,6.866e-05,80.2158273381295
1.265e-05,9.103e-05,76.97841726618705
1.265e-05,0.00012068,77.33812949640287
1.265e-05,0.00015999,79.49640287769785
1.265e-05,0.0002121,77.33812949640287
1.265e-05,0.00028118,77.6978417266187
1.265e-05,0.00037276,74.82014388489209
1.265e-05,0.00049417,75.53956834532374
1.265e-05,0.00065513,74.10071942446042
1.265e-05,0.00086851,73.02158273381295
1.265e-05,0.0011514,71.94244604316546
1.265e-05,0.00152642,70.86330935251799
1.265e-05,0.00202359,70.14388489208633
1.265e-05,0.0026827,70.50359712230215
1.265e-05,0.00355648,69.42446043165468
1.265e-05,0.00471487,68.34532374100719
1.265e-05,0.00625055,67.26618705035972
1.265e-05,0.00828643,66.90647482014388
1.265e-05,0.01098541,64.02877697841727
1.265e-05,0.01456348,63.66906474820144
1.265e-05,0.01930698,61.87050359712231
1.265e-05,0.02559548,59.71223021582733
1.265e-05,0.03393222,57.9136690647482
1.265e-05,0.04498433,57.194244604316545
1.265e-05,0.05963623,55.03597122302158
1.265e-05,0.07906043,53.23741007194245
1.265e-05,0.10481131,51.798561151079134
1.265e-05,0.13894955,49.64028776978417
1.265e-05,0.184207,49.64028776978417
1.265e-05,0.24420531,47.84172661870504
1.265e-05,0.32374575,46.402877697841724
1.265e-05,0.42919343,45.68345323741007
1.265e-05,0.5689866,43.884892086330936
1.265e-05,0.75431201,42.44604316546763
1.265e-05,1.0,40.647482014388494
1.677e-05,1e-06,18.345323741007196
1.677e-05,1.33e-06,14.028776978417264
1.677e-05,1.76e-06,19.06474820143885
1.677e-05,2.33e-06,17.62589928057554
1.677e-05,3.09e-06,20.14388489208633
1.677e-05,4.09e-06,17.26618705035971
1.677e-05,5.43e-06,25.179856115107913
1.677e-05,7.2e-06,64.02877697841727
1.677e-05,9.54e-06,73.02158273381295
1.677e-05,1.265e-05,69.7841726618705
1.677e-05,1.677e-05,62.23021582733813
1.677e-05,2.223e-05,78.05755395683454
1.677e-05,2.947e-05,80.57553956834532
1.677e-05,3.907e-05,77.33812949640287
1.677e-05,5.179e-05,81.29496402877699
1.677e-05,6.866e-05,80.93525179856115
1.677e-05,9.103e-05,79.49640287769785
1.677e-05,0.00012068,80.93525179856115
1.677e-05,0.00015999,81.29496402877699
1.677e-05,0.0002121,78.41726618705036
1.677e-05,0.00028118,79.49640287769785
1.677e-05,0.00037276,78.05755395683454
1.677e-05,0.00049417,77.33812949640287
1.677e-05,0.00065513,76.97841726618705
1.677e-05,0.00086851,74.46043165467626
1.677e-05,0.0011514,75.53956834532374
1.677e-05,0.00152642,73.02158273381295
1.677e-05,0.00202359,72.3021582733813
1.677e-05,0.0026827,71.22302158273382
1.677e-05,0.00355648,70.86330935251799
1.677e-05,0.00471487,70.86330935251799
1.677e-05,0.00625055,69.42446043165468
1.677e-05,0.00828643,68.70503597122301
1.677e-05,0.01098541,67.26618705035972
1.677e-05,0.01456348,65.82733812949641
1.677e-05,0.01930698,64.38848920863309
1.677e-05,0.02559548,61.87050359712231
1.677e-05,0.03393222,60.431654676258994
1.677e-05,0.04498433,57.55395683453237
1.677e-05,0.05963623,57.194244604316545
1.677e-05,0.07906043,55.39568345323741
1.677e-05,0.10481131,53.597122302158276
1.677e-05,0.13894955,52.51798561151079
1.677e-05,0.184207,49.64028776978417
1.677e-05,0.24420531,49.64028776978417
1.677e-05,0.32374575,47.482014388489205
1.677e-05,0.42919343,47.122302158273385
1.677e-05,0.5689866,46.76258992805755
1.677e-05,0.75431201,43.884892086330936
1.677e-05,1.0,42.086330935251794
