Gamma,Lambda,Accuracy
2.33e-06,6.866e-05,96.37681159420289
2.33e-06,9.103e-05,97.19202898550725
2.33e-06,0.00012068,97.91666666666666
2.33e-06,0.00015999,98.55072463768117
2.33e-06,0.0002121,99.09420289855072
2.33e-06,0.00028118,99.18478260869566
2.33e-06,0.00037276,99.63768115942028
2.33e-06,0.00049417,99.72826086956522
2.33e-06,0.00065513,99.72826086956522
2.33e-06,0.00086851,99.81884057971014
2.33e-06,0.0011514,99.90942028985508
2.33e-06,0.00152642,99.90942028985508
2.33e-06,0.00202359,99.90942028985508
2.33e-06,0.0026827,100.0
2.33e-06,0.00355648,100.0
2.33e-06,0.00471487,100.0
2.33e-06,0.00625055,100.0
2.33e-06,0.00828643,100.0
2.33e-06,0.01098541,100.0
2.33e-06,0.01456348,100.0
2.33e-06,0.01930698,100.0
2.33e-06,0.02559548,100.0
2.33e-06,0.03393222,100.0
2.33e-06,0.04498433,100.0
2.33e-06,0.05963623,100.0
2.33e-06,0.07906043,100.0
2.33e-06,0.10481131,100.0
2.33e-06,0.13894955,100.0
2.33e-06,0.184207,100.0
2.33e-06,0.24420531,100.0
2.33e-06,0.32374575,100.0
2.33e-06,0.42919343,100.0
2.33e-06,0.5689866,100.0
2.33e-06,0.75431201,100.0
2.33e-06,1.0,100.0
3.09e-06,1e-06,0.5434782608695652
3.09e-06,1.33e-06,0.8152173913043478
3.09e-06,1.76e-06,0.9057971014492754
3.09e-06,2.33e-06,0.9057971014492754
3.09e-06,3.09e-06,5.88768115942029
3.09e-06,4.09e-06,29.80072463768116
3.09e-06,5.43e-06,85.68840579710145
3.09e-06,7.2e-06,88.8586956521739
3.09e-06,9.54e-06,90.48913043478261
3.09e-06,1.265e-05,91.12318840579711
3.09e-06,1.677e-05,92.21014492753623
3.09e-06,2.223e-05,93.02536231884058
3.09e-06,2.947e-05,93.65942028985508
3.09e-06,3.907e-05,95.01811594202898
3.09e-06,5.179e-05,95.7427536231884
3.09e-06,6.866e-05,95.92391304347827
3.09e-06,9.103e-05,96.82971014492753
3.09e-06,0.00012068,97.64492753623189
3.09e-06,0.00015999,98.18840579710145
3.09e-06,0.0002121,98.6413043478261
3.09e-06,0.00028118,99.09420289855072
3.09e-06,0.00037276,99.27536231884058
3.09e-06,0.00049417,99.72826086956522
3.09e-06,0.00065513,99.72826086956522
3.09e-06,0.00086851,99.72826086956522
3.09e-06,0.0011514,99.81884057971014
3.09e-06,0.00152642,99.90942028985508
3.09e-06,0.00202359,99.90942028985508
3.09e-06,0.0026827,99.90942028985508
3.09e-06,0.00355648,100.0
3.09e-06,0.00471487,100.0
3.09e-06,0.00625055,100.0
3.09e-06,0.00828643,100.0
3.09e-06,0.01098541,100.0
3.09e-06,0.01456348,100.0
